Date,^TNX
2018-02-01,0.14800000190734863
2018-03-01,-0.127000093460083
2018-04-01,0.19500017166137695
2018-05-01,-0.11400008201599121
2018-06-01,0.026999950408935547
2018-07-01,0.11500000953674316
2018-08-01,-0.11100006103515625
2018-09-01,0.20300006866455078
2018-10-01,0.10299992561340332
2018-11-01,-0.14599990844726562
2018-12-01,-0.3269999027252197
2019-01-01,-0.051000118255615234
2019-02-01,0.07599997520446777
2019-03-01,-0.2969999313354492
2019-04-01,0.09500002861022949
2019-05-01,-0.36700010299682617
2019-06-01,-0.1419999599456787
2019-07-01,0.020999908447265625
2019-08-01,-0.5149998664855957
2019-09-01,0.16899991035461426
2019-10-01,0.016000032424926758
2019-11-01,0.08500003814697266
2019-12-01,0.14300000667572021
2020-01-01,-0.39900004863739014
2020-02-01,-0.3930000066757202
2020-03-01,-0.42899996042251587
2020-04-01,-0.07600003480911255
2020-05-01,0.026000022888183594
2020-06-01,0.004999995231628418
2020-07-01,-0.11699998378753662
2020-08-01,0.15700000524520874
2020-09-01,-0.016000032424926758
2020-10-01,0.18300002813339233
2020-11-01,-0.016000032424926758
2020-12-01,0.07300001382827759
2021-01-01,0.17600005865097046
2021-02-01,0.3669999837875366
2021-03-01,0.28600001335144043
2021-04-01,-0.11500000953674316
2021-05-01,-0.05000007152557373
2021-06-01,-0.1380000114440918
2021-07-01,-0.20399999618530273
2021-08-01,0.06500005722045898
2021-09-01,0.2250000238418579
2021-10-01,0.02799999713897705
2021-11-01,-0.11400008201599121
2021-12-01,0.0690000057220459
2022-01-01,0.26999998092651367
2022-02-01,0.057000041007995605
2022-03-01,0.48799991607666016
2022-04-01,0.5600001811981201
2022-05-01,-0.042999982833862305
2022-06-01,0.12799978256225586
2022-07-01,-0.3299999237060547
2022-08-01,0.4909999370574951
2022-09-01,0.6710000038146973
2022-10-01,0.27300024032592773
2022-11-01,-0.37400007247924805
2022-12-01,0.17599987983703613
2023-01-01,-0.34999990463256836
2023-02-01,0.38699984550476074
2023-03-01,-0.4219999313354492
2023-04-01,-0.04200005531311035
2023-05-01,0.18500018119812012
2023-06-01,0.18199992179870605
2023-07-01,0.1400001049041748
2023-08-01,0.13399982452392578
2023-09-01,0.48000001907348633
2023-10-01,0.3020000457763672
2023-11-01,-0.5229997634887695
2023-12-01,-0.48600029945373535
2024-01-01,0.10100007057189941
2024-02-01,0.2849998474121094
2024-03-01,-0.046000003814697266
2024-04-01,0.48000001907348633
2024-05-01,-0.11499977111816406
2026-03-01,-0.430999755859375
