Date,Inflation Linked,Corporate Bond,Bond Europei,ETF Momentum,ETF Quality,ETF Value,ETF Low Volatility,Oro,Monetario (<1y)
2018-02-01,0.0036466316082797157,0.003330300773923822,0.006521402592144732,0.011435603063500777,-0.011046769540641654,-0.019138772775248447,-0.01662977434502033,0.0012355978951543722,-0.0005093729825341731
2018-03-01,0.011139273564331864,-0.0013088425829095307,0.010374367783465566,-0.05164243561525095,-0.025531957490205204,-0.03283302110787256,-0.01395149205950541,-0.004651584211165183,-0.0004575299180981096
2018-04-01,0.0014184541454269617,0.0006167774566503414,-0.002628567310474117,0.041404860761398155,0.03256915839420116,0.04713870690862776,0.02643988054660351,0.011349570421786526,-0.0003807116430253332
2018-05-01,-0.017516556470306366,-0.005007722938221937,-0.007329957150151167,0.05971535654082483,0.0479295369286894,0.004816638355601199,0.032024548336548664,0.026688059285373766,-0.00033956026558112917
2018-06-01,0.011245116916100972,0.001238861497018684,0.004729056702784895,-0.0029196634779881103,-0.004540111858441942,-0.018989722752959515,0.007015604746323234,-0.04023151255913793,-0.00043259632107062185
2018-07-01,-0.0038016814181109915,-0.0019331713342765067,-0.006936333877362255,0.012737848877228064,0.024662146379340166,0.023491825249152498,0.02478561748725938,-0.025361293712857447,-0.0004125072005940478
2018-08-01,-0.00968372242528781,0.004778560934071363,0.002839939648744405,0.05088917689232031,0.023574024213202982,-0.005875866694890486,0.022486616142498583,-0.010408460297630318,-0.00037698521344498026
2018-09-01,-0.00024086247730104038,-0.0024821185898820097,-0.0027505630039013074,0.013894544956853938,0.005798044926185408,0.020317737370138866,0.01265820068224599,-0.00863261686570116,-0.0003429741256903984
2018-10-01,-0.006793561268981341,-0.002721261170241185,-0.0011700327949418776,-0.0774762458739674,-0.0448358559304004,-0.04923970199232297,-0.020328291318037706,0.04594130887447223,-0.0004005510766404985
2018-11-01,-0.0016979048440474154,-0.006861052121221456,0.002761240194674608,0.005589129206532872,-0.00016768040192138844,0.00019037169546942678,0.021781189859148675,0.003062198036595465,-0.00039205594559554857
2018-12-01,0.0006317356871270441,0.0022766203691662046,0.006675591033080686,-0.08688024283724638,-0.07914153703902227,-0.08661715862924768,-0.0635721618709647,0.036348002000441415,-0.0003783330609808955
2019-01-01,0.008838419485248439,0.007676046132404801,0.0042274883951674,0.07127978418211312,0.07574660962865187,0.08670279047731344,0.05428339029173901,0.0329559230559775,-0.00042212095958837903
2019-02-01,-0.008231475251036624,0.01216549407016898,0.004001164050422501,0.04784696036262437,0.05484085584551335,0.02090525825369105,0.03666798095916701,0.0006238276035590573,-0.0003916350312591632
2019-03-01,0.013104872903166198,0.01375037803446233,0.01619285124653591,0.03510272574482931,0.03193192993444138,0.0045087672464916295,0.03302933602828806,-0.0008906169861798707,-0.00032854658592751385
2019-04-01,0.00483883383461281,0.006248770921772895,0.0012196146730549806,0.033222994241773884,0.033120898206718596,0.019824154374309844,0.012407550934309564,-0.007042261663203875,-0.00044161567295353255
2019-05-01,-0.0014780814783229568,-0.0029534872814992452,0.007714072622203361,-0.024949902512722666,-0.04741121929754455,-0.07445438564974238,-0.001414126157422979,0.018224246255678977,-0.00033747580996978943
2019-06-01,0.02220316725347038,0.017013460658586332,0.018614053603418057,0.03585105434513225,0.039658747036211084,0.04477904233943497,0.022539576472257572,0.06189388455115519,-0.0002493535278906833
2019-07-01,0.029708522776315638,0.008065912233570227,0.010125814040620629,0.04451787163064447,0.03738600258935598,0.025412481779268026,0.03635316180505921,0.03495515608712152,-0.0005412354525582419
2019-08-01,0.012974054521305733,0.011034499543371767,0.02359402988192416,-0.0016440780816959766,-0.021974801539067723,-0.038468615278289486,0.02082399837013038,0.08399513408056314,-0.0004400824219142896
2019-09-01,-0.004926135640314633,-0.006851777224973876,-0.006684525059188595,0.005320473219608157,0.031605760078405876,0.062319633759724935,0.02007204106074134,-0.032193539090597856,-0.00038111963836751084
